subject,phase,stimulus_set,source_vision_roi,target_imagery_roi,standard_rho,crossvalidated_rho,subject_p_greater,leave_target_min,leave_target_median,leave_target_max
1,pilot,B,ventral,dorsal_parietal,0.5857142857142857,0.035714285714285705,0.020833333333333332,0.3696969696969697,0.5454545454545454,0.8303030303030302
1,pilot,B,lateral,early,0.75,0.23571428571428568,0.002777777777777778,0.5878787878787878,0.7151515151515151,0.8909090909090909
1,pilot,B,lateral,ventral,0.5714285714285714,0.12142857142857141,0.04722222222222222,0.4424242424242424,0.5818181818181818,0.7212121212121211
1,pilot,B,lateral,lateral,0.6642857142857143,-0.0035714285714285704,0.015277777777777777,0.5515151515151515,0.6787878787878787,0.8545454545454544
1,pilot,B,lateral,midparietal,0.575,0.39999999999999997,0.03611111111111111,0.13939393939393938,0.5515151515151515,0.8909090909090909
1,pilot,B,lateral,parietal,0.6321428571428571,-0.024999999999999998,0.020833333333333332,0.22424242424242422,0.6121212121212121,0.8303030303030302
1,pilot,B,lateral,visual_streams,0.7428571428571429,0.04285714285714285,0.005555555555555556,0.6242424242424242,0.6909090909090908,0.9151515151515152
1,pilot,B,lateral,dorsal_parietal,0.7428571428571429,0.06785714285714285,0.004166666666666667,0.4787878787878787,0.7333333333333332,0.9393939393939393
1,pilot,B,midparietal,early,0.5178571428571429,0.30357142857142855,0.04861111111111111,0.32121212121212117,0.509090909090909,0.6121212121212121
1,pilot,B,midparietal,ventral,0.18928571428571428,0.024999999999999998,0.28194444444444444,-0.01818181818181818,0.15757575757575756,0.41818181818181815
1,pilot,B,midparietal,lateral,0.3464285714285714,-0.25357142857142856,0.15416666666666667,0.04242424242424241,0.2909090909090909,0.6606060606060605
1,pilot,B,midparietal,midparietal,0.3142857142857143,0.42499999999999993,0.16805555555555557,-0.05454545454545454,0.19999999999999998,0.6848484848484848
1,pilot,B,midparietal,parietal,0.30357142857142855,-0.2964285714285714,0.18888888888888888,0.0303030303030303,0.1818181818181818,0.6848484848484848
1,pilot,B,midparietal,visual_streams,0.44642857142857145,-0.08214285714285713,0.08055555555555556,0.2606060606060606,0.3878787878787878,0.6
1,pilot,B,midparietal,dorsal_parietal,0.40714285714285714,-0.21071428571428572,0.11388888888888889,0.10303030303030303,0.3515151515151515,0.7454545454545454
1,pilot,B,parietal,early,0.6,0.35,0.018055555555555554,0.29696969696969694,0.6242424242424242,0.7939393939393938
1,pilot,B,parietal,ventral,0.32142857142857145,0.125,0.14305555555555555,0.1515151515151515,0.2666666666666666,0.6242424242424242
1,pilot,B,parietal,lateral,0.39285714285714285,-0.039285714285714285,0.08333333333333333,0.22424242424242422,0.43030303030303024,0.5878787878787878
1,pilot,B,parietal,midparietal,0.49642857142857144,0.5428571428571428,0.043055555555555555,0.2606060606060606,0.4363636363636363,0.8303030303030302
1,pilot,B,parietal,parietal,0.6035714285714285,-0.21071428571428572,0.009722222222222222,0.43030303030303024,0.5333333333333333,0.8181818181818182
1,pilot,B,parietal,visual_streams,0.5357142857142857,0.1357142857142857,0.03194444444444444,0.34545454545454546,0.5212121212121212,0.7212121212121211
1,pilot,B,parietal,dorsal_parietal,0.5214285714285715,-0.075,0.04027777777777778,0.309090909090909,0.44848484848484843,0.7575757575757575
1,pilot,B,visual_streams,early,0.6142857142857143,0.15714285714285714,0.022222222222222223,0.49090909090909085,0.6121212121212121,0.7212121212121211
1,pilot,B,visual_streams,ventral,0.3964285714285714,-0.10357142857142855,0.10972222222222222,0.33333333333333326,0.35757575757575755,0.5151515151515151
1,pilot,B,visual_streams,lateral,0.5392857142857143,-0.2321428571428571,0.03888888888888889,0.3939393939393939,0.509090909090909,0.6969696969696969
1,pilot,B,visual_streams,midparietal,0.4714285714285714,0.3321428571428571,0.05555555555555555,0.17575757575757575,0.406060606060606,0.7212121212121211
1,pilot,B,visual_streams,parietal,0.425,-0.4071428571428571,0.08888888888888889,0.10303030303030303,0.3818181818181818,0.7696969696969697
1,pilot,B,visual_streams,visual_streams,0.6071428571428571,-0.1857142857142857,0.018055555555555554,0.5151515151515151,0.5696969696969696,0.6727272727272726
1,pilot,B,visual_streams,dorsal_parietal,0.5571428571428572,-0.27499999999999997,0.027777777777777776,0.29696969696969694,0.5272727272727272,0.8060606060606059
1,pilot,B,dorsal_parietal,early,0.6357142857142857,0.38928571428571423,0.016666666666666666,0.43030303030303024,0.6484848484848484,0.7454545454545454
1,pilot,B,dorsal_parietal,ventral,0.3357142857142857,0.1857142857142857,0.14722222222222223,0.19999999999999998,0.2909090909090909,0.6
